category,total_orders,payment_method,year
appliances,338,cod,2017
appliances,334,easypay_voucher,2018
computing,330,easypay_voucher,2017
home & living,330,cod,2017
kids & baby,304,Payaxis,2017
soghaat,292,Payaxis,2017
mens fashion,283,jazzwallet,2016
others,265,Payaxis,2016
appliances,265,cod,2018
computing,262,cod,2017
others,253,jazzwallet,2016
home & living,243,Payaxis,2017
others,237,jazzvoucher,2016
kids & baby,237,Easypay,2017
computing,236,Payaxis,2016
soghaat,236,Easypay,2017
computing,234,Payaxis,2018
soghaat,233,Payaxis,2016
entertainment,231,jazzvoucher,2018
women's fashion,229,Payaxis,2018
women's fashion,228,jazzwallet,2016
home & living,215,easypay_voucher,2017
entertainment,207,jazzvoucher,2016
home & living,203,Payaxis,2016
health & sports,197,Payaxis,2017
mens fashion,183,Payaxis,2016
women's fashion,183,easypay_voucher,2017
entertainment,179,jazzwallet,2016
home & living,167,jazzvoucher,2016
computing,165,jazzvoucher,2016
women's fashion,165,cod,2016
mobiles & tablets,164,Easypay_MA,2018
beauty & grooming,162,Payaxis,2016
computing,160,Easypay,2018
women's fashion,158,cod,2018
mens fashion,154,cod,2018
women's fashion,154,Easypay,2018
women's fashion,150,Payaxis,2016
beauty & grooming,146,easypay_voucher,2017
entertainment,141,cod,2018
health & sports,141,jazzwallet,2016
mens fashion,138,jazzvoucher,2016
health & sports,137,cod,2017
beauty & grooming,136,Easypay_MA,2017
soghaat,135,jazzvoucher,2016
home & living,130,Easypay_MA,2017
health & sports,126,Easypay,2017
mobiles & tablets,123,jazzwallet,2017
mens fashion,123,Payaxis,2018
entertainment,119,Easypay_MA,2017
superstore,118,Payaxis,2018
women's fashion,117,Easypay_MA,2017
health & sports,116,Payaxis,2018
soghaat,111,cod,2016
computing,101,Easypay_MA,2017
women's fashion,101,jazzvoucher,2016
appliances,99,jazzvoucher,2018
mobiles & tablets,96,cod,2016
beauty & grooming,96,cod,2018
mens fashion,96,jazzwallet,2017
others,92,Payaxis,2018
superstore,82,Easypay,2018
entertainment,75,Easypay_MA,2018
home & living,74,cod,2018
superstore,70,cod,2018
superstore,69,easypay_voucher,2017
appliances,68,Easypay_MA,2018
mens fashion,68,cod,2016
mens fashion,68,Easypay,2018
health & sports,68,Payaxis,2016
superstore,65,Easypay_MA,2017
kids & baby,65,jazzwallet,2017
others,64,Payaxis,2017
beauty & grooming,59,Easypay,2018
beauty & grooming,59,Payaxis,2018
appliances,58,bankalfalah,2018
others,57,cod,2017
beauty & grooming,53,jazzwallet,2017
soghaat,51,jazzwallet,2017
kids & baby,50,Easypay_MA,2017
soghaat,46,Easypay_MA,2017
kids & baby,46,easypay_voucher,2017
appliances,43,jazzwallet,2017
beauty & grooming,42,cod,2016
health & sports,42,cod,2018
mobiles & tablets,41,jazzvoucher,2017
school & education,41,cod,2017
appliances,40,cod,2016
computing,38,cod,2018
women's fashion,38,jazzwallet,2017
computing,35,cod,2016
health & sports,34,easypay_voucher,2017
health & sports,31,jazzvoucher,2016
health & sports,30,jazzwallet,2017
home & living,29,Payaxis,2018
soghaat,29,easypay_voucher,2017
appliances,27,jazzvoucher,2017
home & living,27,cod,2016
entertainment,26,jazzwallet,2017
others,26,jazzwallet,2017
computing,25,easypay_voucher,2018
computing,25,jazzwallet,2017
health & sports,25,Easypay_MA,2017
mobiles & tablets,23,bankalfalah,2018
kids & baby,23,Easypay,2018
home & living,23,Easypay,2018
others,23,Easypay,2018
computing,22,bankalfalah,2018
entertainment,22,bankalfalah,2018
health & sports,22,Easypay,2018
others,21,Easypay,2017
kids & baby,20,cod,2018
school & education,19,Payaxis,2017
soghaat,19,cod,2018
mobiles & tablets,18,jazzwallet,2018
superstore,18,Easypay_MA,2018
school & education,18,jazzwallet,2016
women's fashion,17,easypay_voucher,2018
appliances,16,jazzwallet,2018
women's fashion,16,jazzwallet,2018
superstore,16,jazzvoucher,2018
home & living,15,jazzwallet,2017
women's fashion,14,Easypay_MA,2018
women's fashion,14,bankalfalah,2018
soghaat,14,Easypay,2018
kids & baby,14,Payaxis,2016
superstore,13,cod,2016
kids & baby,13,jazzwallet,2016
soghaat,13,Payaxis,2018
school & education,13,Easypay,2017
superstore,13,jazzvoucher,2017
computing,12,Easypay_MA,2018
kids & baby,12,cod,2016
entertainment,11,jazzvoucher,2017
mens fashion,11,Easypay_MA,2018
computing,10,jazzvoucher,2018
mens fashion,10,jazzwallet,2018
books,10,cod,2017
entertainment,9,cod,2016
health & sports,9,cod,2016
kids & baby,9,jazzvoucher,2016
school & education,9,cod,2016
beauty & grooming,9,Easypay_MA,2018
home & living,9,Easypay_MA,2018
women's fashion,8,jazzvoucher,2017
superstore,7,jazzwallet,2018
kids & baby,7,Payaxis,2018
mens fashion,6,bankalfalah,2018
beauty & grooming,6,jazzvoucher,2018
mens fashion,6,jazzvoucher,2017
school & education,6,Payaxis,2016
entertainment,5,jazzwallet,2018
health & sports,5,jazzvoucher,2018
women's fashion,5,jazzvoucher,2018
books,5,jazzvoucher,2016
soghaat,4,Easypay_MA,2018
school & education,4,easypay_voucher,2017
school & education,4,Easypay_MA,2017
superstore,3,bankalfalah,2018
kids & baby,3,bankalfalah,2018
health & sports,3,jazzwallet,2018
beauty & grooming,3,easypay_voucher,2018
others,3,cod,2016
home & living,3,jazzwallet,2018
health & sports,3,Easypay_MA,2018
school & education,3,cod,2018
school & education,3,jazzvoucher,2016
others,2,easypay_voucher,2017
mens fashion,2,jazzvoucher,2018
home & living,2,bankalfalah,2018
books,2,cod,2018
books,2,Payaxis,2016
kids & baby,2,jazzvoucher,2017
school & education,2,jazzwallet,2017
appliances,1,mcblite,2016
mobiles & tablets,1,apg,2018
appliances,1,apg,2018
home & living,1,jazzvoucher,2017
computing,1,apg,2018
school & education,1,jazzwallet,2018
beauty & grooming,1,bankalfalah,2018
computing,1,jazzvoucher,2017
books,1,Payaxis,2017
mens fashion,1,easypay_voucher,2018
books,1,jazzwallet,2016
school & education,1,Easypay,2018
health & sports,1,bankalfalah,2018
home & living,1,apg,2018
soghaat,1,bankalfalah,2018
others,1,cod,2018
books,1,Easypay_MA,2018
school & education,1,Easypay_MA,2018
kids & baby,1,jazzwallet,2018
others,1,Easypay_MA,2017
home & living,1,jazzvoucher,2018
women's fashion,1,mygateway,2016
others,1,jazzvoucher,2018
superstore,1,cashatdoorstep,2016
beauty & grooming,1,jazzvoucher,2017
soghaat,1,easypay_voucher,2018
books,1,Easypay,2017
beauty & grooming,1,jazzwallet,2018
