category,total_orders,payment_method,year
books,17,Payaxis,2017
health & sports,17,jazzvoucher,2018
women's fashion,17,mcblite,2016
kids & baby,16,Easypay_MA,2018
kids & baby,16,jazzwallet,2018
kids & baby,15,jazzvoucher,2017
soghaat,15,jazzvoucher,2018
books,14,Easypay,2017
kids & baby,14,jazzvoucher,2018
school & education,13,apg,2018
appliances,13,internetbanking,2016
kids & baby,13,jazzvoucher,2016
others,12,mcblite,2016
soghaat,12,easypay_voucher,2018
school & education,12,Easypay_MA,2017
health & sports,12,jazzvoucher,2017
entertainment,12,mygateway,2016
health & sports,11,easypay_voucher,2018
beauty & grooming,11,mcblite,2016
home & living,10,internetbanking,2016
appliances,10,mcblite,2016
soghaat,9,apg,2018
kids & baby,9,internetbanking,2016
kids & baby,9,ublcreditcard,2016
school & education,8,jazzvoucher,2016
school & education,8,jazzwallet,2017
beauty & grooming,8,internetbanking,2016
computing,8,internetbanking,2016
entertainment,8,internetbanking,2016
kids & baby,7,mygateway,2016
mens fashion,7,customercredit,2017
home & living,7,ublcreditcard,2016
school & education,6,jazzwallet,2016
school & education,6,Easypay_MA,2018
school & education,6,easypay_voucher,2017
school & education,6,mygateway,2016
books,6,cod,2018
home & living,6,mcblite,2016
home & living,6,mygateway,2016
books,5,Easypay_MA,2018
superstore,5,internetbanking,2016
health & sports,5,ublcreditcard,2016
books,5,ublcreditcard,2016
books,4,Easypay,2018
entertainment,4,mcblite,2016
school & education,3,jazzvoucher,2018
school & education,3,ublcreditcard,2016
school & education,3,internetbanking,2016
books,3,apg,2018
health & sports,3,mcblite,2016
computing,3,mcblite,2016
others,2,cashatdoorstep,2016
school & education,2,jazzwallet,2018
others,2,mcblite,2017
superstore,2,ublcreditcard,2016
computing,2,customercredit,2017
books,2,Payaxis,2018
others,2,bankalfalah,2017
school & education,2,mcblite,2016
books,2,easypay_voucher,2018
superstore,2,mcblite,2016
health & sports,2,mygateway,2016
health & sports,2,internetbanking,2016
school & education,1,customercredit,2017
entertainment,1,customercredit,2017
school & education,1,easypay_voucher,2018
beauty & grooming,1,cashatdoorstep,2016
others,1,customercredit,2017
superstore,1,mygateway,2016
mobiles & tablets,1,customercredit,2017
soghaat,1,customercredit,2018
mens fashion,1,customercredit,2018
home & living,1,customercredit,2017
books,1,Easypay_MA,2017
women's fashion,1,customercredit,2018
appliances,1,customercredit,2017
school & education,1,jazzvoucher,2017
books,1,internetbanking,2016
books,1,mygateway,2016
beauty & grooming,1,bankalfalah,2017
mobiles & tablets,1,cashatdoorstep,2017
mobiles & tablets,1,financesettlement,2017
mobiles & tablets,1,bankalfalah,2017
